Long,Lat
39.23216993,-76.60422563
39.23235197,-76.60434791
39.23046652,-76.60677738
39.23073944,-76.60601697
39.23061826,-76.60593402
39.2302937,-76.60625266
39.23093122,-76.60543164
39.23064814,-76.60523788
39.22969892,-76.60643967
39.23295141,-76.60111581
39.23278653,-76.60129848
39.22983493,-76.60611287
39.22996023,-76.60481457
39.23042012,-76.6047628
39.2303881,-76.6051124
39.22904825,-76.60482992
39.22970513,-76.60323229
39.22966359,-76.60333186
39.22944598,-76.60385303
39.22995887,-76.60363564
39.22392784,-76.58895334
39.2288048,-76.60417092
39.22891684,-76.60390483
39.22907509,-76.60352907
39.23221881,-76.6016411
39.23111261,-76.60176224
39.23039952,-76.6019301
39.23478325,-76.60067597
39.23280832,-76.59720836
39.22908959,-76.60252667
39.22842915,-76.60506148
39.22840607,-76.60293775
39.22747949,-76.60400725
39.23390899,-76.59626859
39.23224455,-76.59749972
39.23181102,-76.59772429
39.23227423,-76.59712478
39.22269512,-76.59734906
39.21837705,-76.58810216
39.22195226,-76.59581247
39.22247994,-76.59312154
39.22133295,-76.59689902
39.22223084,-76.59382334
39.22357249,-76.58741013
39.22347059,-76.5892616
39.22302749,-76.59579509
39.22523721,-76.59186885
39.21651882,-76.58797313
39.22080082,-76.58669426
39.22254327,-76.59215702
39.22252128,-76.5925522
39.22247138,-76.58746433
39.22404442,-76.59242346
39.22415486,-76.59087007
39.22378392,-76.59176133
39.22372679,-76.59244799
39.22509106,-76.58791881
39.22511237,-76.58818927
39.22477451,-76.58760875
39.2246853,-76.58922633
39.225454,-76.58930547
39.22501448,-76.58923722
39.2258018,-76.58898394
39.22697251,-76.58973889
39.22710367,-76.58802708
39.23146705,-76.59284609
39.22665527,-76.5917491
39.22587057,-76.59238044
39.22582307,-76.59217606
39.22582596,-76.59204177
39.22582963,-76.59197529
39.2287222,-76.59105466
39.22866996,-76.59105521
39.22844982,-76.59102392
39.22811389,-76.59107333
39.22800016,-76.5911678
39.22786053,-76.59131383
39.22782079,-76.59143123
39.22767032,-76.59180943
39.22735934,-76.59196687
39.22983801,-76.59244632
39.22703817,-76.59200481
39.2267788,-76.59203491
39.22671192,-76.59204412
39.22635375,-76.59208651
39.22763727,-76.5911846
39.22771651,-76.59075786
39.23520487,-76.6115077
39.22690369,-76.59084418
39.23270936,-76.59185933
39.22647621,-76.59108747
39.23634598,-76.60807085
39.23514607,-76.61154458
39.22650691,-76.59056578
39.23247409,-76.59641616
39.23235197,-76.59648264
39.23295178,-76.59521775
39.23057507,-76.59440443
39.23077708,-76.59396975
39.23008184,-76.59165865
39.23003982,-76.59164681
39.22942518,-76.59195127
39.23016986,-76.59168175
39.23041619,-76.59370158
39.23043226,-76.59361811
39.23044322,-76.59353324
39.23044434,-76.59326514
39.23005133,-76.59371696
39.23010645,-76.59354268
39.23072306,-76.59192282
39.23085815,-76.59177767
39.23349418,-76.59685013
39.23082444,-76.58922835
39.23148034,-76.59307315
39.22968246,-76.59114115
39.229634,-76.59112735
39.22942635,-76.59111725
39.22939792,-76.58770246
39.22927486,-76.58987506
39.23038706,-76.58964708
39.23042459,-76.59021986
39.22332105,-76.58802047
39.23038219,-76.6057614
39.23413902,-76.60218758
39.23481403,-76.60247288
39.23109438,-76.60435224
39.23759046,-76.6039338
39.23857578,-76.60504336
39.23512056,-76.60729362
39.23294971,-76.59616779
39.23214003,-76.59563481
39.22916033,-76.59160137
39.23283118,-76.59683424
39.22807347,-76.58769157
39.23650571,-76.60427694
39.23604504,-76.60456278
39.22969917,-76.58810822
39.2364707,-76.60429535
39.23622419,-76.60447142
39.23607928,-76.60482045
39.23785763,-76.60403369
39.23748128,-76.6037793
39.23788339,-76.60411718
39.23782016,-76.60391246
39.23783258,-76.60395257
39.23777348,-76.60376281
39.23808124,-76.60456664
39.23704258,-76.60349878
39.23782616,-76.60482199
39.23691069,-76.60339897
39.23687206,-76.6025515
39.23709129,-76.60326375
39.23755588,-76.60314227
39.2374145,-76.6026831
39.23737287,-76.60254608
39.23739218,-76.60261585
39.23690365,-76.60304742
39.23723651,-76.60210476
39.23729723,-76.60230275
39.23685892,-76.60056777
39.2372171,-76.60204101
39.23740683,-76.60325902
39.23638928,-76.60505709
39.23640279,-76.60510084
39.23629484,-76.60475209
39.23552759,-76.60303596
39.23651126,-76.60383831
39.23649683,-76.60379212
39.23648266,-76.60374618
39.23546573,-76.60306828
39.23560936,-76.6033266
39.23555929,-76.60237487
39.2353074,-76.60197126
39.23525649,-76.60180822
39.23653744,-76.609727
39.23643151,-76.60916443
39.23648331,-76.60913848
39.23677243,-76.60899371
39.23667527,-76.60828482
39.23664964,-76.60791861
39.23641625,-76.60803533
39.23610068,-76.60857656
39.23615954,-76.60876502
39.23616779,-76.60888871
39.23652683,-76.60798011
39.23612885,-76.60866813
39.23568797,-76.60295537
39.23655536,-76.61183844
39.24017469,-76.60410801
39.23542378,-76.60600385
39.2347287,-76.60458369
39.23524749,-76.6038872
39.23677091,-76.60061091
39.23652322,-76.60073234
39.23700001,-76.60132061
39.2366279,-76.60068122
39.23655593,-76.60071659
39.23698592,-76.60127398
39.23042751,-76.5931773
39.22814786,-76.58789404
39.22074306,-76.58669003
